938.84,400.7,-502.01
909.3,485.9,-365.54
580.2,538.15,-360.41
684.69,494.69,-409.73
844.6,458.56,-413.88
771.12,503.97,-399.96
657.59,370.42,-358.22
588.26,481.51,-414.86
800.42,492,-428.04
853.39,427.55,-367.98
786.01,401.67,-455.14
757.2,507.14,-370.91
889.04,412.41,-327.94
797.49,438.05,-229.55
597.29,581.6,-418.52
814.09,529.36,-485.9
909.06,424.13,-374.82
572.88,514.71,-418.03
628.54,502.01,-497.86
724.49,409.97,-467.83
739.38,409.97,-479.8
684.69,445.13,-511.78
745.48,416.32,-584.53
779.42,384.34,-655.09
1209.11,511.78,-297.42
570.19,629.7,-218.81
436.89,448.06,-374.33
875.37,429.26,-405.58
809.45,455.63,-307.19
604.37,383.85,-414.61
741.33,390.44,-320.62
778.44,438.54,-571.84
657.35,462.22,-377.5
746.46,353.58,-450.5
817.26,435.85,-529.85
676.15,492.25,-525.45
911.74,382.14,-452.45
928.59,430.73,-308.65
677.12,549.87,-354.55
430.54,597.72,-515.69
890.26,496.89,-463.93
899.29,360.17,-409.48
660.77,175.6,-577.7
556.27,484.68,-616.52
478.39,155.82,-304.5
766.48,1481.51,-114.81
611.45,396.06,-759.83
806.27,436.34,-588.44
866.58,943.42,-448.79
805.54,589.9,-252.26
226.2,233.7,-375.31
736.21,378.48,-429.26
878.05,479.06,-192.69
781.86,542.3,-483.7
650.02,495.91,-468.57
666.87,365.78,-376.77
723.02,392.64,-371.4
760.38,409.48,-379.46
765.5,413.64,-398.01
672.49,408.75,-411.68
1185.18,346.01,-227.6
860.96,536.93,-106.26
456.18,675.6,-421.69
708.86,354.06,-226.87
987.43,251.28,-422.91
501.1,499.57,-381.65
695.43,461.73,-426.33
742.55,309.88,-323.3
706.18,371.64,-437.81
684.2,428.53,-501.28
817.26,356.99,-435.36
890.75,345.28,-537.66
983.28,440.98,-417.3
606.32,519.84,-366.52
585.33,429.99,-328.67
723.27,415.34,-309.14
809.45,465.88,-384.34
727.91,458.07,-434.14
594.85,421.45,-442.2
677.86,349.67,-393.86
733.52,382.14,-493.23
691.77,444.4,-506.41
715.21,344.79,-514.95
757.93,368.23,-449.52
766.72,421.2,-587.22
840.94,368.96,-561.1
897.58,336.49,-467.1
769.9,499.57,-269.35
450.07,614.32,-320.37
763.31,497.62,-534.24
1084.35,284,-454.41
478.64,500.06,-402.4
568.73,477.36,-414.86
732.3,341.86,-474.67
748.66,374.33,-508.36
693.97,494.45,-589.66
811.65,352.11,-612.12
770.87,294.01,-574.28
983.03,406.8,-543.03
709.35,551.82,-143.62
400.51,677.55,-500.31
681.03,474.18,-449.77
964.48,340.88,-391.66
696.41,439.27,-407.04
606.32,428.53,-457.82
636.6,411.68,-409.73
682.74,315.98,-434.63
702.27,310.12,-474.43
769.65,352.11,-492.98
832.15,398.74,-564.27
921.75,336.24,-456.12
965.21,387.02,-318.66
604.37,647.52,-257.14
460.57,612.37,-352.11
1005.25,315,-397.28
